Date,Open,High,Low,Volume,Close
2023-08-14,111.68,111.98,110.78,12973380,111.92
2023-08-11,110.37,112.07,110.05,14047040,111.83
2023-08-10,110.19,111.63,109.44,15837170,110.12
2023-08-09,108.71,110.42,108.31,19919600,109.56
2023-08-08,106.04,107.75,104.84,14065570,107.73
2023-08-07,107.9,108.42,106.51,12410830,107.2
2023-08-04,107.96,109.24,107.33,14279630,107.42
2023-08-03,105.89,107.88,105.3,16283110,107.12
2023-08-02,106.26,106.38,104.57,13489810,105.29
2023-08-01,106.95,107.32,105.53,14212940,106.62
2023-07-31,105.19,107.86,105.19,24200300,107.24
2023-07-28,105.11,105.16,102.32,17571680,104.16
2023-07-27,106.0,106.99,104.74,17677890,105.42
2023-07-26,105.11,105.72,104.64,15159620,105.09
2023-07-25,105.06,106.09,104.54,14116080,105.68
2023-07-24,104.36,106.16,103.96,15090860,105.52
2023-07-21,104.16,104.38,103.26,17121490,103.89
2023-07-20,102.54,103.66,102.36,15740200,103.41
2023-07-19,101.05,102.4,100.8,15556540,101.62
2023-07-18,100.92,102.2,100.34,24617800,100.92
2023-07-17,100.72,101.67,100.22,18055850,101.38
2023-07-14,104.05,104.05,100.53,28181920,100.94
2023-07-13,105.97,106.23,103.32,26826840,104.54
2023-07-12,107.0,107.65,106.13,13238240,106.49
2023-07-11,105.26,106.16,104.81,12581080,105.97
2023-07-10,102.97,104.75,102.75,14877620,104.69
2023-07-07,101.92,104.0,101.56,21929160,103.16
2023-07-06,105.09,105.72,102.43,17964880,102.92
2023-07-05,107.63,107.92,106.1,12491210,106.91
2023-07-03,107.49,108.46,107.07,7396992,107.46
2023-06-30,107.32,107.88,106.81,13544660,107.25
2023-06-29,105.66,106.73,105.13,11364440,106.7
2023-06-28,104.31,105.82,103.2,13084060,105.4
2023-06-27,104.05,104.61,103.27,13227490,104.55
2023-06-26,102.2,104.91,102.2,14283410,104.29
2023-06-23,102.59,102.82,101.62,17933600,102.4
2023-06-22,102.84,103.89,102.65,12458810,103.3
2023-06-21,102.5,104.63,102.33,13285740,103.87
2023-06-20,104.68,104.77,102.12,17519380,102.72
2023-06-16,106.36,106.77,104.96,43128870,105.13
2023-06-15,105.5,107.03,105.44,16224120,105.89
2023-06-14,107.45,108.11,104.39,16627680,105.16
2023-06-13,107.38,108.34,106.28,13533780,106.44
2023-06-12,105.81,107.06,105.56,14115160,106.42
2023-06-09,108.46,108.61,107.16,12252530,107.39
2023-06-08,108.77,109.14,105.9,13517920,108.19
2023-06-07,106.79,108.89,106.73,16027090,108.53
2023-06-06,104.15,106.27,103.98,12209770,106.15
2023-06-05,107.19,107.03,105.09,10628000,105.29
2023-06-02,105.16,106.13,104.53,14112040,105.76
2023-06-01,101.75,105.58,101.26,13551940,103.36
2023-05-31,102.29,103.04,101.74,24926120,102.18
2023-05-30,103.29,104.12,102.61,11938030,104.04
2023-05-26,106.47,106.95,104.83,12370330,104.97
2023-05-25,105.94,106.43,104.71,14316460,105.66
2023-05-24,107.38,108.51,106.73,16340290,107.59
2023-05-23,105.99,108.22,105.75,14394440,106.4
2023-05-22,105.84,107.04,104.88,12882000,104.97
2023-05-19,106.57,107.05,105.82,13359630,106.26
2023-05-18,104.55,105.91,104.13,12005610,105.77
2023-05-17,103.39,105.23,102.85,14064740,104.82
2023-05-16,104.63,104.81,102.02,14800200,102.52
2023-05-15,105.51,105.93,104.58,13715580,105.07
